# Thinking / "đang chờ tải câu trả lời" filler texts — VieNeu (Ngọc Lan).
# NGUỒN GỐC của th_N.wav (text không nhúng trong wav). Sửa file này rồi chạy ./regen_fillers.sh để gen lại.
# Format: N|text   (N = th_N.wav). Cue [thở dài]/[hắng giọng]/[cười] -> VieNeu phát thành tiếng thật.
# Gen: POST http://localhost:8002/tts {"input": text} -> WAV 48k -> ffmpeg resample 16k mono.
1|Chờ tao xíu, đang tải câu trả lời nha.
2|[thở dài] Đợi chút nghen, tao đang tìm cho mày.
3|Để tao tra cái đã, sắp có rồi.
4|[hắng giọng] Khoan nha, đang lấy thông tin nè.
5|Tao đang xử lý, đợi tí thôi.
6|[thở dài] Chờ tao lục lại cái đã nha.
7|Đang tải nè mày, xíu thôi.
8|Để tao kiếm câu trả lời cho mày.
9|[thở dài] Đợi tao chút, gần xong rồi nè.
10|Tao đang nghĩ câu trả lời nha.
11|Khoan xíu, đang tải cho mày nè.
12|[hắng giọng] Chờ chút nghen, tao đang dò.
13|Để tao coi lại đã, liền hà.
14|Đợi tí, câu trả lời sắp tới.
15|[thở dài] Tao đang gom thông tin, chờ xíu.
16|Chờ tao tra cứu cái đã nha.
17|Đang tìm cho mày đây, đợi chút.
18|[thở dài] Để tao tải cái đã, xíu thôi.
19|Khoan nha, sắp có câu trả lời rồi.
20|Tao đang lấy dữ liệu, chờ tí nghen.
21|Đợi tao chút, đang xử lý nè.
22|Chờ xíu thôi, tao tra liền cho mày.
23|Để tao móc thông tin ra coi.
24|[thở dài] Đang nạp câu trả lời nha mày.
25|Khoan đã, tao đang kiếm nè.
26|Đợi tao tí, gần ra rồi.
27|[thở dài] Chờ chút nha, đang tải dữ liệu.
28|Tao đang dò lại, xíu có liền.
29|Để tao tìm câu trả lời đã nghen.
30|[hắng giọng] Đang xử lý nè, chờ tao chút.
31|Khoan xíu mày, tao tra cái đã.
32|[thở dài] Đợi chút, câu trả lời đang về.
33|Chờ tao lấy thông tin cái đã.
34|Để tao tải xong rồi nói nha.
35|[thở dài] Tao đang kiếm cho mày nè, đợi tí.
36|Khoan nha, đang gom câu trả lời.
37|[cười] Chờ xíu, sắp xong rồi nè.
38|Đợi tao dò chút, liền có à.
39|[hắng giọng] Để tao tra nhanh cái đã nghen.
40|Đang tải nha mày, chờ tao tí.
41|[thở dài] Khoan đã, tao xử lý liền cho.
42|Đợi chút nghen, đang tìm thông tin.
43|Chờ tao nạp dữ liệu cái đã.
44|[thở dài] Để tao coi câu trả lời đã nha.
45|Tao đang lục dữ liệu nè, xíu thôi.
46|Khoan xíu, câu trả lời sắp có.
47|[hắng giọng] Đợi tao tra cứu chút nghen mày.
48|Chờ chút, tao lấy liền cho mày.
49|[thở dài] Để tao xử cái đã, gần xong rồi.
50|Đang tìm câu trả lời nha, đợi xíu.
